"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 07:14:56 GMT 2024","Tue Oct 15 07:14:57 GMT 2024","1938","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123mail.com",""
"passed","Tue Oct 15 07:15:30 GMT 2024","Tue Oct 15 07:15:31 GMT 2024","1377","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:15:33 GMT 2024","Tue Oct 15 07:15:35 GMT 2024","1566","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:16:01 GMT 2024","Tue Oct 15 07:16:04 GMT 2024","3598","tests","Login In","TestSingIn","","","Login In",""
"passed","Tue Oct 15 07:15:03 GMT 2024","Tue Oct 15 07:15:05 GMT 2024","1981","tests","Registration","TestCreateAccount","","","Password is less than 8 characters",""
"broken","Tue Oct 15 07:16:31 GMT 2024","Tue Oct 15 07:16:34 GMT 2024","3305","tests","Login In","TestSingIn","","","Click on forgot password link",""
"passed","Tue Oct 15 07:15:51 GMT 2024","Tue Oct 15 07:15:54 GMT 2024","2782","tests","Search","TestSearch","","","Search for a non-existent product",""
"passed","Tue Oct 15 07:14:44 GMT 2024","Tue Oct 15 07:14:46 GMT 2024","1863","tests","Registration","TestCreateAccount","","","Create an account with empty first name field",""
"passed","Tue Oct 15 07:15:06 GMT 2024","Tue Oct 15 07:15:08 GMT 2024","1867","tests","Registration","TestCreateAccount","","","Create an account with not match passwords",""
"passed","Tue Oct 15 07:15:25 GMT 2024","Tue Oct 15 07:15:27 GMT 2024","2919","tests","Main Page","TestMainPage","","","Check logo on main page",""
"passed","Tue Oct 15 07:14:58 GMT 2024","Tue Oct 15 07:15:01 GMT 2024","2709","tests","Registration","TestCreateAccount","","","Create an account with empty password field",""
"passed","Tue Oct 15 07:15:43 GMT 2024","Tue Oct 15 07:15:44 GMT 2024","1779","tests","Main Page","TestMainPage","","","he page contains Cart",""
"passed","Tue Oct 15 07:15:28 GMT 2024","Tue Oct 15 07:15:29 GMT 2024","1625","tests","Main Page","TestMainPage","","","The search bar is displayed on the page",""
"passed","Tue Oct 15 07:14:49 GMT 2024","Tue Oct 15 07:14:51 GMT 2024","2427","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123.com",""
"broken","Tue Oct 15 07:14:51 GMT 2024","Tue Oct 15 07:14:55 GMT 2024","3867","tests","Registration","TestCreateAccount","","","Create an account with invalid email: @mail.com",""
"passed","Tue Oct 15 07:15:45 GMT 2024","Tue Oct 15 07:15:47 GMT 2024","2644","tests","Search","TestSearch","","","Search by 2 characters",""
"passed","Tue Oct 15 07:15:14 GMT 2024","Tue Oct 15 07:15:19 GMT 2024","4591","tests","Products","TestMiniItems","","","test_add_to_wishlist",""
"passed","Tue Oct 15 07:16:28 GMT 2024","Tue Oct 15 07:16:31 GMT 2024","2560","tests","Login In","TestSingIn","","","Click on button Create an Account",""
"passed","Tue Oct 15 07:15:37 GMT 2024","Tue Oct 15 07:15:39 GMT 2024","1341","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:15:54 GMT 2024","Tue Oct 15 07:15:58 GMT 2024","3645","tests","Search","TestSearch","","","Product search by full name",""
"passed","Tue Oct 15 07:15:58 GMT 2024","Tue Oct 15 07:16:00 GMT 2024","2379","tests","Search","TestSearch","","","Product search by partial coincidence",""
"passed","Tue Oct 15 07:15:41 GMT 2024","Tue Oct 15 07:15:42 GMT 2024","1436","tests","Main Page","TestMainPage","","","The page contains hot seller products",""
"failed","Tue Oct 15 07:15:22 GMT 2024","Tue Oct 15 07:15:24 GMT 2024","2222","tests","Products","TestMiniItems","","","Add an item to your wish list",""
"passed","Tue Oct 15 07:14:39 GMT 2024","Tue Oct 15 07:14:44 GMT 2024","4825","tests","Registration","TestCreateAccount","","","Create a new account",""
"passed","Tue Oct 15 07:15:48 GMT 2024","Tue Oct 15 07:15:50 GMT 2024","2723","tests","Search","TestSearch","","","Search by 3 characters",""
"broken","Tue Oct 15 07:15:08 GMT 2024","Tue Oct 15 07:15:11 GMT 2024","2720","tests","Products","TestMiniItems","","","Add an item to the cart without opening the product page and without selecting options)",""
"broken","Tue Oct 15 07:16:05 GMT 2024","Tue Oct 15 07:16:26 GMT 2024","21087","tests","Login In","TestSingIn","","","Login in with empty email field",""
"passed","Tue Oct 15 07:15:01 GMT 2024","Tue Oct 15 07:15:03 GMT 2024","2108","tests","Registration","TestCreateAccount","","","Create an account with weak password",""
"passed","Tue Oct 15 07:15:35 GMT 2024","Tue Oct 15 07:15:37 GMT 2024","1903","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:14:46 GMT 2024","Tue Oct 15 07:14:48 GMT 2024","1877","tests","Registration","TestCreateAccount","","","Create an account with empty last name field",""
"passed","Tue Oct 15 07:16:26 GMT 2024","Tue Oct 15 07:16:28 GMT 2024","1645","tests","Login In","TestSingIn","","","Login in with empty password field",""
"passed","Tue Oct 15 07:15:31 GMT 2024","Tue Oct 15 07:15:33 GMT 2024","1496","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:15:39 GMT 2024","Tue Oct 15 07:15:41 GMT 2024","1361","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:15:11 GMT 2024","Tue Oct 15 07:15:14 GMT 2024","3010","tests","Products","TestMiniItems","","","test_add_to_cart_without_size",""
