"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 07:03:50 GMT 2024","Tue Oct 15 07:03:52 GMT 2024","1416","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:04:47 GMT 2024","Tue Oct 15 07:04:50 GMT 2024","3291","tests","Login In","TestSingIn","","","Click on forgot password link",""
"passed","Tue Oct 15 07:03:11 GMT 2024","Tue Oct 15 07:03:13 GMT 2024","2250","tests","Registration","TestCreateAccount","","","Password is less than 8 characters",""
"passed","Tue Oct 15 07:03:08 GMT 2024","Tue Oct 15 07:03:11 GMT 2024","2220","tests","Registration","TestCreateAccount","","","Create an account with weak password",""
"passed","Tue Oct 15 07:03:20 GMT 2024","Tue Oct 15 07:03:26 GMT 2024","6449","tests","Products","TestMiniItems","","","test_add_to_cart_without_size",""
"passed","Tue Oct 15 07:04:13 GMT 2024","Tue Oct 15 07:04:17 GMT 2024","3819","tests","Search","TestSearch","","","Product search by partial coincidence",""
"broken","Tue Oct 15 07:04:17 GMT 2024","Tue Oct 15 07:04:20 GMT 2024","3031","tests","Login In","TestSingIn","","","Login In",""
"broken","Tue Oct 15 07:04:20 GMT 2024","Tue Oct 15 07:04:42 GMT 2024","21078","tests","Login In","TestSingIn","","","Login in with empty email field",""
"passed","Tue Oct 15 07:03:42 GMT 2024","Tue Oct 15 07:03:44 GMT 2024","1551","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:03:56 GMT 2024","Tue Oct 15 07:03:59 GMT 2024","2788","tests","Search","TestSearch","","","Search by 2 characters",""
"passed","Tue Oct 15 07:02:54 GMT 2024","Tue Oct 15 07:02:57 GMT 2024","2396","tests","Registration","TestCreateAccount","","","Create an account with empty first name field",""
"broken","Tue Oct 15 07:03:17 GMT 2024","Tue Oct 15 07:03:19 GMT 2024","2693","tests","Products","TestMiniItems","","","Add an item to the cart without opening the product page and without selecting options)",""
"passed","Tue Oct 15 07:03:44 GMT 2024","Tue Oct 15 07:03:46 GMT 2024","1565","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:03:38 GMT 2024","Tue Oct 15 07:03:40 GMT 2024","1736","tests","Main Page","TestMainPage","","","The search bar is displayed on the page",""
"passed","Tue Oct 15 07:03:40 GMT 2024","Tue Oct 15 07:03:42 GMT 2024","1458","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:03:04 GMT 2024","Tue Oct 15 07:03:06 GMT 2024","1876","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123mail.com",""
"passed","Tue Oct 15 07:03:46 GMT 2024","Tue Oct 15 07:03:48 GMT 2024","1888","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:03:36 GMT 2024","Tue Oct 15 07:03:38 GMT 2024","2386","tests","Main Page","TestMainPage","","","Check logo on main page",""
"passed","Tue Oct 15 07:03:02 GMT 2024","Tue Oct 15 07:03:03 GMT 2024","1814","tests","Registration","TestCreateAccount","","","Create an account with invalid email: @mail.com",""
"passed","Tue Oct 15 07:03:52 GMT 2024","Tue Oct 15 07:03:54 GMT 2024","1963","tests","Main Page","TestMainPage","","","The page contains hot seller products",""
"passed","Tue Oct 15 07:02:57 GMT 2024","Tue Oct 15 07:02:59 GMT 2024","1875","tests","Registration","TestCreateAccount","","","Create an account with empty last name field",""
"passed","Tue Oct 15 07:04:44 GMT 2024","Tue Oct 15 07:04:46 GMT 2024","2339","tests","Login In","TestSingIn","","","Click on button Create an Account",""
"passed","Tue Oct 15 07:02:59 GMT 2024","Tue Oct 15 07:03:01 GMT 2024","1885","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123.com",""
"passed","Tue Oct 15 07:03:27 GMT 2024","Tue Oct 15 07:03:31 GMT 2024","4594","tests","Products","TestMiniItems","","","test_add_to_wishlist",""
"passed","Tue Oct 15 07:03:13 GMT 2024","Tue Oct 15 07:03:16 GMT 2024","2810","tests","Registration","TestCreateAccount","","","Create an account with not match passwords",""
"broken","Tue Oct 15 07:03:31 GMT 2024","Tue Oct 15 07:03:31 GMT 2024","0","tests","Products","TestMiniItems","","","Add an item to your wish list",""
"passed","Tue Oct 15 07:04:05 GMT 2024","Tue Oct 15 07:04:07 GMT 2024","2402","tests","Search","TestSearch","","","Search for a non-existent product",""
"passed","Tue Oct 15 07:03:48 GMT 2024","Tue Oct 15 07:03:50 GMT 2024","1578","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 07:03:06 GMT 2024","Tue Oct 15 07:03:08 GMT 2024","1902","tests","Registration","TestCreateAccount","","","Create an account with empty password field",""
"passed","Tue Oct 15 07:02:49 GMT 2024","Tue Oct 15 07:02:54 GMT 2024","5245","tests","Registration","TestCreateAccount","","","Create a new account",""
"passed","Tue Oct 15 07:03:54 GMT 2024","Tue Oct 15 07:03:56 GMT 2024","1687","tests","Main Page","TestMainPage","","","he page contains Cart",""
"passed","Tue Oct 15 07:04:42 GMT 2024","Tue Oct 15 07:04:44 GMT 2024","1569","tests","Login In","TestSingIn","","","Login in with empty password field",""
"passed","Tue Oct 15 07:04:00 GMT 2024","Tue Oct 15 07:04:04 GMT 2024","4756","tests","Search","TestSearch","","","Search by 3 characters",""
"passed","Tue Oct 15 07:04:07 GMT 2024","Tue Oct 15 07:04:13 GMT 2024","5161","tests","Search","TestSearch","","","Product search by full name",""
