"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 17 07:24:45 GMT 2024","Thu Oct 17 07:24:50 GMT 2024","4293","tests","Products","TestMiniItems","","","Add an item to the cart without opening the product page and without selecting options)",""
"passed","Thu Oct 17 07:25:33 GMT 2024","Thu Oct 17 07:25:36 GMT 2024","3446","tests","Search","TestSearch","","","Search by 3 characters",""
"passed","Thu Oct 17 07:24:55 GMT 2024","Thu Oct 17 07:24:59 GMT 2024","3449","tests","Products","TestMiniItems","","","test_add_to_wishlist",""
"passed","Thu Oct 17 07:25:18 GMT 2024","Thu Oct 17 07:25:19 GMT 2024","1417","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Thu Oct 17 07:25:02 GMT 2024","Thu Oct 17 07:25:05 GMT 2024","3250","tests","Products","TestMiniItems","","","Add an item to your wish list",""
"passed","Thu Oct 17 07:25:48 GMT 2024","Thu Oct 17 07:25:51 GMT 2024","3864","tests","Login In","TestSingIn","","","Login In",""
"passed","Thu Oct 17 07:25:26 GMT 2024","Thu Oct 17 07:25:27 GMT 2024","1596","tests","Main Page","TestMainPage","","","The page contains hot seller products",""
"passed","Thu Oct 17 07:25:28 GMT 2024","Thu Oct 17 07:25:29 GMT 2024","1600","tests","Main Page","TestMainPage","","","he page contains Cart",""
"passed","Thu Oct 17 07:25:36 GMT 2024","Thu Oct 17 07:25:39 GMT 2024","2623","tests","Search","TestSearch","","","Search for a non-existent product",""
"passed","Thu Oct 17 07:25:06 GMT 2024","Thu Oct 17 07:25:10 GMT 2024","4440","tests","Main Page","TestMainPage","","","Check logo on main page",""
"passed","Thu Oct 17 07:25:15 GMT 2024","Thu Oct 17 07:25:17 GMT 2024","1576","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Thu Oct 17 07:25:13 GMT 2024","Thu Oct 17 07:25:15 GMT 2024","2224","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"broken","Thu Oct 17 07:24:25 GMT 2024","Thu Oct 17 07:24:29 GMT 2024","3865","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123.com",""
"passed","Thu Oct 17 07:26:13 GMT 2024","Thu Oct 17 07:26:15 GMT 2024","1605","tests","Login In","TestSingIn","","","Login in with empty password field",""
"passed","Thu Oct 17 07:24:37 GMT 2024","Thu Oct 17 07:24:39 GMT 2024","2095","tests","Registration","TestCreateAccount","","","Create an account with weak password",""
"passed","Thu Oct 17 07:24:42 GMT 2024","Thu Oct 17 07:24:45 GMT 2024","2949","tests","Registration","TestCreateAccount","","","Create an account with not match passwords",""
"passed","Thu Oct 17 07:24:39 GMT 2024","Thu Oct 17 07:24:42 GMT 2024","2166","tests","Registration","TestCreateAccount","","","Password is less than 8 characters",""
"passed","Thu Oct 17 07:26:18 GMT 2024","Thu Oct 17 07:26:21 GMT 2024","2376","tests","Login In","TestSingIn","","","Click on forgot password link",""
"passed","Thu Oct 17 07:26:15 GMT 2024","Thu Oct 17 07:26:18 GMT 2024","2385","tests","Login In","TestSingIn","","","Click on button Create an Account",""
"passed","Thu Oct 17 07:24:21 GMT 2024","Thu Oct 17 07:24:24 GMT 2024","2766","tests","Registration","TestCreateAccount","","","Create an account with empty last name field",""
"passed","Thu Oct 17 07:24:29 GMT 2024","Thu Oct 17 07:24:31 GMT 2024","2147","tests","Registration","TestCreateAccount","","","Create an account with invalid email: @mail.com",""
"passed","Thu Oct 17 07:25:11 GMT 2024","Thu Oct 17 07:25:12 GMT 2024","1572","tests","Main Page","TestMainPage","","","The search bar is displayed on the page",""
"passed","Thu Oct 17 07:24:12 GMT 2024","Thu Oct 17 07:24:19 GMT 2024","6899","tests","Registration","TestCreateAccount","","","Create a new account",""
"passed","Thu Oct 17 07:24:34 GMT 2024","Thu Oct 17 07:24:36 GMT 2024","2041","tests","Registration","TestCreateAccount","","","Create an account with empty password field",""
"passed","Thu Oct 17 07:25:21 GMT 2024","Thu Oct 17 07:25:23 GMT 2024","1532","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Thu Oct 17 07:25:30 GMT 2024","Thu Oct 17 07:25:32 GMT 2024","2529","tests","Search","TestSearch","","","Search by 2 characters",""
"passed","Thu Oct 17 07:24:32 GMT 2024","Thu Oct 17 07:24:34 GMT 2024","2186","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123mail.com",""
"passed","Thu Oct 17 07:25:44 GMT 2024","Thu Oct 17 07:25:47 GMT 2024","2694","tests","Search","TestSearch","","","Product search by partial coincidence",""
"passed","Thu Oct 17 07:25:23 GMT 2024","Thu Oct 17 07:25:25 GMT 2024","2034","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Thu Oct 17 07:25:39 GMT 2024","Thu Oct 17 07:25:44 GMT 2024","4657","tests","Search","TestSearch","","","Product search by full name",""
"passed","Thu Oct 17 07:24:50 GMT 2024","Thu Oct 17 07:24:55 GMT 2024","4408","tests","Products","TestMiniItems","","","test_add_to_cart_without_size",""
"passed","Thu Oct 17 07:24:19 GMT 2024","Thu Oct 17 07:24:21 GMT 2024","2090","tests","Registration","TestCreateAccount","","","Create an account with empty first name field",""
"passed","Thu Oct 17 07:25:19 GMT 2024","Thu Oct 17 07:25:21 GMT 2024","1354","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"broken","Thu Oct 17 07:25:52 GMT 2024","Thu Oct 17 07:26:13 GMT 2024","21036","tests","Login In","TestSingIn","","","Login in with empty email field",""
